n,time
1242,0.868942
1243,0.872641
1244,0.870907
1245,0.885672
1246,0.87278
1247,0.873015
1248,1.0895
1249,0.932405
1250,0.870434
1251,0.850343
1252,0.885328
1253,0.865528
1254,0.865438
1255,1.020265
1256,0.935738
1257,0.91654
1258,0.87246
1259,0.852386
1260,0.864196
1261,0.855397
1262,0.86181
1263,1.030647
1264,0.931877
1265,0.907074
1266,0.857411
1267,0.886145
1268,0.873037
1269,0.865549
1270,0.869166
1271,1.150317
1272,0.988115
1273,0.879081
1274,0.867368
1275,0.87173
1276,0.869892
1277,0.866472
1278,1.009597
1279,0.871894
1280,0.865725
1281,0.865096
1282,0.872739
1283,0.874652
1284,0.873077
1285,0.885692
1286,1.04206
1287,0.873847
1288,0.871449
1289,0.890236
1290,0.877083
1291,0.887497
1292,0.87627
1293,1.088457
1294,0.979522
1295,0.967583
1296,0.880069
1297,0.881438
1298,0.889654
1299,0.886864
1300,0.884198
1301,1.055172
1302,0.931294
1303,0.914694
1304,0.912568
1305,0.922632
1306,0.925442
1307,0.928709
1308,1.051116
1309,0.888478
1310,0.885462
1311,0.905814
1312,0.897292
1313,0.893583
1314,0.897247
1315,0.904681
1316,1.121739
1317,0.892668
1318,0.895022
1319,0.897008
1320,0.919232
1321,0.897882
1322,0.8958
1323,1.056497
1324,0.914569
1325,0.899568
1326,0.899525
1327,0.910985
1328,0.960077
1329,0.92689
1330,1.076914
1331,0.947149
1332,0.979387
1333,0.935659
1334,0.931069
1335,0.939051
1336,0.985453
1337,1.039425
1338,0.952861
1339,0.911931
1340,0.908998
1341,0.933784
1342,0.912464
1343,0.917034
1344,0.915469
1345,1.074357
1346,0.909587
1347,0.913993
1348,0.919693
1349,0.926107
1350,0.915797
1351,0.919621
1352,1.221183
1353,1.023961
1354,0.922401
1355,0.924209
1356,0.919165
1357,0.924936
1358,0.928524
1359,1.085529
1360,1.032358
1361,0.999503
1362,0.95008
1363,0.955509
1364,0.952964
1365,0.938338
1366,1.171101
1367,1.026568
1368,0.956353
1369,0.950813
1370,0.930036
1371,0.938806
1372,0.936712
1373,1.212413
1374,1.020312
1375,0.974565
1376,0.93388
1377,0.953933
1378,0.937841
1379,0.941724
1380,1.161978
1381,0.979021
1382,0.959468
1383,0.939007
1384,0.946297
1385,0.945373
1386,0.954707
1387,1.245289
1388,0.94368
1389,0.955504
1390,0.952522
1391,0.953017
1392,0.946253
1393,0.948091
1394,1.185413
1395,0.946291
1396,0.951347
1397,0.94818
1398,0.96896
1399,0.953016
1400,0.950467
1401,1.112684
1402,0.970147
1403,0.953082
1404,0.96954
1405,0.962343
1406,0.958132
1407,0.958577
1408,1.091644
1409,0.978134
1410,0.991758
1411,0.961858
1412,0.954997
1413,0.956475
1414,0.967322
1415,1.149947
1416,0.991342
1417,0.988624
1418,1.008769
1419,0.994187
1420,0.999769
1421,0.998342
1422,1.115557
1423,0.963807
1424,0.98412
1425,0.968634
1426,0.995772
1427,0.975087
1428,0.970687
1429,1.205624
1430,1.075565
1431,0.99786
1432,1.001023
1433,1.003424
1434,1.02526
1435,1.129073
1436,1.066508
1437,1.047267
1438,0.976283
1439,0.981113
1440,0.977065
1441,0.988855
1442,1.230636
1443,1.078619
1444,1.01862
1445,1.023152
1446,1.009948
1447,1.005892
1448,0.980847
1449,1.235006
1450,1.096966
1451,0.985042
1452,0.982434
1453,1.020058
1454,0.992022
1455,0.995405
1456,1.151711
1457,0.987542
1458,0.998078
1459,0.992174
1460,0.996539
1461,0.994316
1462,1.177769
1463,1.00426
1464,1.00781
1465,0.993362
1466,0.993151
1467,1.001412
1468,1.008812
1469,1.156077
1470,1.000134
1471,0.998541
1472,1.011857
1473,1.007223
1474,1.006572
1475,0.999481
1476,1.235481
1477,1.143184
1478,1.044606
1479,1.038661
1480,1.020574
1481,1.003879
1482,1.157624
1483,1.020835
1484,1.008507
1485,1.008542
1486,1.003454
1487,1.020637
1488,1.011429
1489,1.220119
1490,1.013095
1491,1.027351
1492,1.012622
1493,1.024823
1494,1.016559
1495,1.285554
1496,1.021717
1497,1.020283
1498,1.016961
1499,1.035687
1500,1.021532
1501,1.032685
1502,1.200413
1503,1.015796
1504,1.022818
1505,1.023759
1506,1.037318
1507,1.025376
1508,1.301809
1509,1.154342
1510,1.042809
1511,1.023875
1512,1.034083
1513,1.032628
1514,1.031217
1515,1.374044
1516,1.0969
1517,1.044235
1518,1.032285
1519,1.029844
1520,1.045194
1521,1.215362
1522,1.028397
1523,1.039137
1524,1.047769
1525,1.03867
1526,1.045542
1527,1.226102
1528,1.054848
1529,1.035709
1530,1.037428
1531,1.036524
1532,1.046863
1533,1.044431
1534,1.199246
1535,1.037644
1536,1.057149
1537,1.045913
1538,1.044874
1539,1.055747
1540,1.217677
1541,1.041591
1542,1.042132
1543,1.057371
1544,1.045978
1545,1.052184
1546,1.279148
1547,1.151773
1548,1.10773
1549,1.052557
1550,1.056038
1551,1.053592
1552,1.064283
1553,1.25814
1554,1.140095
1555,1.086968
1556,1.088257
1557,1.117537
1558,1.092707
1559,1.288561
1560,1.191322
1561,1.076775
1562,1.061284
1563,1.067031
1564,1.065494
1565,1.235395
1566,1.066437
1567,1.061577
1568,1.094991
1569,1.061996
1570,1.07181
1571,1.217318
1572,1.135115
1573,1.067657
1574,1.069761
1575,1.077599
1576,1.069554
1577,1.074725
1578,1.264209
1579,1.082103
1580,1.071523
1581,1.076552
1582,1.086827
1583,1.075806
1584,1.276045
1585,1.182505
1586,1.126692
1587,1.108498
1588,1.107023
1589,1.109287
1590,1.26203
1591,1.209145
1592,1.117577
1593,1.134738
1594,1.115303
1595,1.110717
1596,1.360634
1597,1.218812
1598,1.116566
1599,1.113578
1600,1.121006
1601,1.107753
1602,1.280696
1603,1.097896
1604,1.093017
1605,1.097666
1606,1.095278
1607,1.093005
1608,1.332034
1609,1.16034
1610,1.146378
1611,1.093107
1612,1.097839
1613,1.098973
1614,1.260322
1615,1.130092
1616,1.124901
1617,1.173511
1618,1.101485
1619,1.130042
1620,1.26636
1621,1.129439
1622,1.098175
1623,1.108223
1624,1.126394
1625,1.105681
1626,1.254865
1627,1.190452
1628,1.158475
1629,1.1264
1630,1.109152
1631,1.1507
1632,1.259646
1633,1.21522
1634,1.124147
1635,1.107414
1636,1.111216
1637,1.113426
1638,1.295497
1639,1.256266
1640,1.119599
1641,1.124559
1642,1.11191
1643,1.112607
1644,1.323748
1645,1.269558
1646,1.129207
1647,1.120399
1648,1.124104
1649,1.124451
1650,1.355644
1651,1.141218
1652,1.122524
1653,1.117479
1654,1.12218
1655,1.133848
1656,1.392566
1657,1.261374
1658,1.140688
1659,1.119978
1660,1.128653
1661,1.12951
1662,1.442425
1663,1.250358
1664,1.128955
1665,1.153468
1666,1.134637
1667,1.142852
1668,1.303563
1669,1.128866
1670,1.132364
1671,1.137897
1672,1.138772
1673,1.141814
1674,1.298259
1675,1.150846
1676,1.131769
1677,1.138834
1678,1.145058
1679,1.13801
1680,1.350597
1681,1.159941
1682,1.157678
1683,1.14393
1684,1.144423
1685,1.149484
1686,1.443027
1687,1.154078
1688,1.161019
1689,1.140663
1690,1.158037
1691,1.338176
1692,1.301802
1693,1.180318
1694,1.188975
1695,1.191978
1696,1.184775
1697,1.289236
1698,1.292403
1699,1.153564
1700,1.14984
1701,1.157709
1702,1.179763
1703,1.304066
1704,1.158127
1705,1.178254
1706,1.160428
1707,1.161772
1708,1.167769
1709,1.304604
1710,1.158479
1711,1.169989
1712,1.183254
1713,1.194935
1714,1.446351
1715,1.191237
1716,1.16034
1717,1.161278
1718,1.168545
1719,1.167132
1720,1.489819
1721,1.23274
1722,1.172559
1723,1.170664
1724,1.170892
1725,1.176411
1726,1.449939
1727,1.166385
1728,1.19039
1729,1.182213
1730,1.182099
1731,1.343234
1732,1.303638
1733,1.174069
1734,1.20416
1735,1.182175
1736,1.178666
1737,1.372709
1738,1.305364
1739,1.190532
1740,1.180169
1741,1.184016
1742,1.187395
1743,1.390413
1744,1.298185
1745,1.21071
1746,1.187931
1747,1.189708
1748,1.401826
1749,1.185413
1750,1.209993
1751,1.207488
1752,1.190981
1753,1.198327
1754,1.406331
1755,1.229022
1756,1.228831
1757,1.462148
1758,1.219384
1759,1.526711
1760,1.241381
1761,1.21734
1762,1.219766
1763,1.236158
1764,1.223231
1765,1.389475
1766,1.216349
1767,1.222677
1768,1.211519
1769,1.214589
1770,1.216
1771,1.488845
1772,1.227262
1773,1.21375
1774,1.20476
1775,1.220292
1776,1.394874
1777,1.1997
1778,1.21687
1779,1.234207
1780,1.211589
1781,1.218742
1782,1.593168
1783,1.212328
1784,1.213905
1785,1.22446
1786,1.215569
1787,1.422218
1788,1.222049
1789,1.215915
1790,1.219879
1791,1.221316
1792,1.217727
1793,1.396283
1794,1.21274
1795,1.23701
1796,1.226742
1797,1.232507
1798,1.451795
1799,1.346455
1800,1.255396
1801,1.244089
1802,1.220343
1803,1.357179
1804,1.297045
1805,1.263086
1806,1.264143
1807,1.284501
1808,1.267833
1809,1.449046
1810,1.316446
1811,1.30774
1812,1.3065
1813,1.306601
1814,1.531657
1815,1.232464
1816,1.253867
1817,1.228679
1818,1.239997
1819,1.244399
1820,1.475505
1821,1.27406
1822,1.325563
1823,1.322873
1824,1.259312
1825,1.417534
1826,1.232388
1827,1.23453
1828,1.260504
1829,1.24146
1830,1.36494
1831,1.301554
1832,1.239403
1833,1.241674
1834,1.244264
1835,1.249216
1836,1.540515
1837,1.337174
1838,1.247813
1839,1.245023
1840,1.247972
1841,1.440781
1842,1.244003
1843,1.250075
1844,1.274603
1845,1.275005
1846,1.435038
1847,1.425722
1848,1.263713
1849,1.249485
1850,1.26318
1851,1.259492
1852,1.47079
1853,1.372062
1854,1.301532
1855,1.29579
1856,1.304377
1857,1.402199
1858,1.378989
1859,1.274973
1860,1.282244
1861,1.25747
1862,1.493901
1863,1.390079
1864,1.307178
1865,1.32167
1866,1.295201
1867,1.304419
1868,1.398062
1869,1.266114
1870,1.271297
1871,1.278878
1872,1.271963
1873,1.495525
